2MASS J19383260+4603591,406,,0.33
47 UMa,1078,2.1,0.032
47 UMa,2391,3.6,0.098
47 UMa,14002,11.6,0.16
55 Cnc,14.6516,0.1134,0
55 Cnc,44.3989,0.2373,0.03
55 Cnc,5574.2,5.957,0.13
55 Cnc,0.7365474,0.01544,0.05
55 Cnc,259.88,0.7708,0.08
61 Vir,4.215,0.050201,0.12
61 Vir,38.021,0.2175,0.14
61 Vir,123.01,0.476,0.35
AU Mic,8.4629991,0.0645,0.186
AU Mic,18.858991,0.1101,
AU Mic,12.73596,,0.00305
CoRoT-7,0.85359163,,0
CoRoT-7,3.698,0.046,0
CoRoT-7,8.966,,
DMPP-1,18.57,0.1462,0.083
DMPP-1,6.584,0.0733,0.057
DMPP-1,2.882,0.0422,0.07
DMPP-1,5.516,0.0651,0.07
K2-16,2.71578,,
EPIC 206024342,4.50756,,
EPIC 206024342,0.911724,,
EPIC 206024342,14.647531,,
EPIC 249893012,3.5951,0.047,0.06
EPIC 249893012,15.624,0.13,0.07
EPIC 249893012,35.747,0.22,0.15
GJ 1061,3.204,0.021,0.31
GJ 1061,6.689,0.035,0.29
GJ 1061,13.031,0.054,0.53
GJ 163,8.63182,0.0607,0.073
GJ 163,25.63058,0.1254,0.099
GJ 163,603.95116,1.0304,0.373
GJ 180,17.133,0.092,0.07
GJ 180,24.329,0.129,0.09
GJ 180,106.3,0.309,0.14
GJ 3138,1.22003,0.0197,0.19
GJ 3138,5.974,0.057,0.11
GJ 3138,257.8,0.698,0.32
GJ 3293,30.5987,0.14339,0.06
GJ 3293,122.6196,0.36175,0.11
GJ 3293,48.1345,0.19394,0.12
GJ 3293,13.2543,0.08208,0.21
GJ 357,3.9306,0.036,
GJ 357,9.1247,0.061,
GJ 357,55.661,0.204,
GJ 367,0.3219225,0.00709,0.06
GJ 367,11.5301,,0.09
GJ 367,34.369,,0.14
GJ 433,7.3705,0.062,0.04
GJ 433,5094.105,4.819,0.12
GJ 433,36.059,0.178,0.07
GJ 581,5.3686,0.04061,0
GJ 581,12.914,0.0721,0
GJ 581,3.149,0.02815,0
GJ 667 C,7.203,,0.2
GJ 667 C,28.14,0.125,0.02
GJ 667 C,62.24,0.213,0.02
GJ 667 C,39.026,0.156,0.03
GJ 667 C,256.2,0.549,0.08
GJ 676 A,1051.44521,1.735,0.319
GJ 676 A,13921.42302,9.726,0.295
GJ 676 A,3.60076,0.039,0.192
GJ 676 A,35.47358,0.181,0.152
GJ 876,61.1166,0.208317,0.0324
GJ 876,30.0881,0.12959,0.25591
GJ 876,1.93778,0.020807,0.207
GJ 876,124.26,0.3343,0.055
GJ 9827,1.2089819,0.0188,0.063
GJ 9827,3.648096,0.03925,0.094
GJ 9827,6.20147,0.0559,0.13
HD 10180,5.75969,0.06412,0.073
HD 10180,16.357,0.12859,0.131
HD 10180,49.748,0.2699,0.051
HD 10180,122.744,0.4929,0.119
HD 10180,604.67,1.427,0.263
HD 10180,2205,3.381,0.095
HD 108236,3.795963,0.04527,0.045
HD 108236,6.203449,0.062,0.034
HD 108236,14.175685,0.1074,0.055
HD 108236,19.590025,0.1367,0.058
HD 108236,29.54115,0.1758,0.051
HD 110067,9.113678,0.0793,
HD 110067,13.673694,0.1039,
HD 110067,20.519617,0.1362,
HD 110067,30.793091,0.1785,
HD 110067,41.05854,0.2163,
HD 110067,54.76992,0.2621,
HD 11506,1613.74017,2.8,0.391
HD 11506,223.95986,0.75,0.233
HD 11506,14723.57452,12.235,0.061
HD 125612,557.69994,1.349,0.446
HD 125612,4.15466,0.051,0.149
HD 125612,2822.72698,3.982,0.115
HD 133131 A,649,1.44,0.33
HD 133131 A,3568,4.49,0.49
HD 133131 B,5769,6.15,0.61
HD 136352,11.57797,0.0964,0
HD 136352,27.59221,0.1721,0
HD 136352,107.245,0.425,0
HD 141399,94.44,0.415,0.04
HD 141399,201.99,0.689,0.048
HD 141399,1069.8,2.09,0.074
HD 141399,5000,5,0.26
HD 142,108.45299,0.474,0.13
HD 142,351.43394,1.039,0.158
HD 142,10159.64279,9.811,0.277
HD 153557,7.29903,0.068,0.065
HD 153557,15.27018,0.111,0.511
HD 153557,40654.64809,21.449,0.152
HD 158259,2.178,,
HD 158259,3.432,,
HD 158259,5.1980814,,
HD 158259,7.951,,
HD 158259,12.028,,
HD 160691,645,,
HD 160691,3947,,
HD 160691,9.6392,,
HD 160691,307.9,,
HD 164922,1207,2.16,0.08
HD 164922,75.74,0.341,0.12
HD 164922,12.458,0.103,0.12
HD 164922,41.763,0.2292,0.086
HD 181433,9.3743,0.08,0.4
HD 181433,962,1.76,0.28
HD 181433,2172,3,0.48
HD 184010,286.6,0.94,0
HD 184010,484.3,1.334,0
HD 184010,836.4,1.92,0
HD 191939,8.8803256,0.0804,0.031
HD 191939,28.579743,0.1752,0.034
HD 191939,38.353037,0.2132,0.031
HD 191939,101.12,0.407,0.031
HD 191939,2200,3.2,
HD 191939,284,0.812,0.03
HD 204313,2041.11539,3.185,0.1
HD 204313,34.95875,0.211,0.059
HD 204313,7325.64666,7.457,0.253
HD 20781,5.3135,0.0529,0.1
HD 20781,13.8905,0.1004,0.09
HD 20781,29.158,0.1647,0.11
HD 20781,85.5073,0.3374,0.06
HD 20782,597.0643,1.3649,0.95
HD 20794,18.315,0.1207,0
HD 20794,40.114,0.2036,0
HD 20794,90.309,0.3499,0
HD 20794,147.02,0.509,0.29
HD 215152,5.75999,0.057638,0
HD 215152,7.28243,0.067393,0
HD 215152,10.86499,0.08799,0
HD 215152,25.1967,0.15417,0
HD 219134,3.092926,0.03876,0
HD 219134,6.76458,0.0653,0.062
HD 219134,46.859,0.237,0.138
HD 219134,22.717,0.1463,0.148
HD 219134,94.2,0.3753,0
HD 219134,2247,3.11,0.06
HD 22946,47.42489,0.2958,
HD 23472,17.667087,0.1162,0.072
HD 23472,29.79749,0.1646,0.063
HD 23472,3.97664,0.04298,0.07
HD 23472,7.90754,0.068,0.07
HD 23472,12.1621839,0.0906,0.07
HD 27894,18.01939,0.125,0.047
HD 27894,36.07,0.198,0.015
HD 27894,5019.54244,5.362,0.343
HD 28109,22.89104,0.1357,0.3307
HD 28109,56.00819,0.308,0.1203
HD 28109,84.25999,0.411,0.0864
HD 31527,16.5535,0.1254,0.1
HD 31527,51.2053,0.2663,0.04
HD 31527,271.6737,0.8098,0.24
HD 3167,0.959641,0.01796,0
HD 3167,29.8454,0.1776,0.06
HD 3167,8.4112,0.0763,0.12
HD 3167,96.63,0.3885,0.15
HD 33142,330,1.074,0.049
HD 33142,810.2,1.955,0.081
HD 33142,89.9,0.452,0.191
HD 34445,1049,2.07,0.27
HD 34445,214.67,0.7181,0.036
HD 34445,117.87,0.4817,0.027
HD 34445,49.175,0.2687,0.09
HD 34445,676.8,1.543,0.031
HD 34445,5700,6.36,0.032
HD 37124,154.378,0.53364,0.054
HD 37124,885.5,1.71,0.125
HD 37124,1862,2.807,0.16
HD 39091,2088.75851,3.311,0.642
HD 39194,5.6368,0.056,0.207
HD 39194,14.03,0.103,0.154
HD 39194,33.91,0.185,0.333
HD 40307,4.3123,0.0468,0.2
HD 40307,9.6184,0.0799,0.06
HD 40307,20.432,0.1321,0.07
HD 40307,51.76,0.247,0.02
HD 40307,197.8,0.6,0.29
HD 63433,7.1079379,0.0714,0.24
HD 63433,20.543791,0.1448,0.21
HD 63433,4.209075,0.0503,0.16
HD 69830,8.667,0.0785,0.1
HD 69830,31.56,0.186,0.13
HD 69830,197,0.63,0.07
HD 7924,5.39792,0.06,0.06
HD 7924,15.299,0.1134,0.098
HD 7924,24.451,0.1551,0.21
HD 93385,7.3426,0.0756,0.295
HD 93385,13.18,0.112,0.2
HD 93385,45.85,0.2565,0.09
HD 96700,8.1245,0.0777,0.138
HD 96700,19.88,0.141,0.293
HD 96700,103.5,0.424,0.27
HIP 14810,6.673892,0.0696,0.14399
HIP 14810,147.747,0.549,0.1566
HIP 14810,981.8,1.94,0.185
HIP 29442,13.63083,0.107,
HIP 29442,3.53796,0.0436,
HIP 29442,6.42975,0.0649,
HIP 41378,15.572098,,
HIP 41378,31.70648,,
HIP 41378,1114,,
HIP 41378,,,
HIP 41378,1084,,
HIP 57274,8.1352,0.07,0.19
HIP 57274,32.03,0.178,0.05
HIP 57274,431.7,1.01,0.27
HR 858,3.58599,0.048,0.3
HR 858,5.97293,0.0674,0.19
HR 858,11.23,0.1027,0.28
HR 8799,170000,68,
HR 8799,69000,38,
HR 8799,37000,24,
HR 8799,,16.4,0.15
K2-133,3.07133,0.03194,
K2-133,4.86784,0.04341,
K2-133,11.02454,0.07487,
K2-133,26.5841,0.1346,
K2-136,7.9752,0.0707,0.14
K2-136,17.30713,0.1185,0.047
K2-136,25.575,0.1538,0.071
K2-138,2.35309,0.03385,0.048
K2-138,3.56004,0.04461,0.045
K2-138,5.40479,0.05893,0.043
K2-138,8.26146,0.0782,0.077
K2-138,12.75758,0.10447,0.062
K2-138,41.96797,0.23109,0.059
K2-148,4.38395,0.0454,
K2-148,6.9226,0.0616,
K2-148,9.7579,0.0774,
K2-155,6.342,0.0562,
K2-155,13.85,0.0946,
K2-155,40.718,0.1937,
K2-16,7.6188,0.0667,
K2-16,19.07863,0.1229,
K2-165,2.354992,,
K2-165,4.382745,,
K2-165,14.101361,,
K2-183,0.469285,,
K2-183,10.787992,,
K2-183,22.620344,,
K2-187,0.77401,,
K2-187,2.871512,,
K2-187,7.149584,,
K2-187,13.606629,,
K2-19,7.9222,,0.2
K2-19,11.8993,,0.21
K2-19,2.5081,,
K2-198,17.0428683,,
K2-198,3.3596055,,
K2-198,7.4500177,,
K2-219,3.901287,,
K2-219,6.66767,,
K2-219,11.137278,,
K2-233,2.4675,0.03308,0.079
K2-233,7.06005,0.06666,0.2002
K2-233,24.3645,0.15224,0.1999
K2-239,5.24,0.0441,
K2-239,7.775,0.0576,
K2-239,10.115,0.0685,
K2-266,0.658524,0.01306,
K2-266,7.814,0.0679,0.042
K2-266,14.697,0.1035,0.047
K2-266,19.482,0.1249,0.043
K2-268,2.151676,,
K2-268,9.327527,,
K2-268,4.528598,,
K2-268,6.131243,,
K2-268,26.27057,,
K2-285,3.471745,0.03817,0
K2-285,7.138048,0.0824,0
K2-285,10.45582,0.1178,0
K2-285,14.76289,0.18041,0
K2-3,10.0546535,0.0747,0.107
K2-3,24.646729,0.1357,0.048
K2-3,44.55603,0.2014,0.091
K2-32,8.992,0.0795,0.03
K2-32,20.66093,0.13843,0.049
K2-32,31.71701,0.18422,0.05
K2-32,4.34934,0.04899,0.043
K2-352,3.665912,,
K2-352,8.234885,,
K2-352,14.871387,,
K2-368,5.025598,,
K2-368,9.660186,,
K2-368,20.201085,,
K2-37,4.44117,0.0511,
K2-37,6.42904,0.0654,
K2-37,14.09189,0.1103,
K2-381,7.9389334,,
K2-381,16.034656,,
K2-381,26.803023,,
K2-384,2.231527,,
K2-384,4.194766,,
K2-384,6.679582,,
K2-384,9.715043,,
K2-384,13.62749,,
K2-58,7.05254,0.0692,
K2-58,2.53726,0.035,
K2-58,22.8827,0.1517,
K2-72,5.577212,0.04,0.11
K2-72,15.189034,0.078,0.11
K2-72,7.760178,0.05,0.11
K2-72,24.158868,0.106,0.11
K2-80,19.0918,0.135,
K2-80,5.605,0.0596,
K2-80,28.867253,,
KIC 10001893,0.2197,,
KIC 10001893,0.32528,,
KIC 10001893,0.81161,,
KOI-7892,31.8099,,
KOI-7892,75.2,,
KOI-142,10.91647,,0.05561
KOI-142,22.26492,,0.05724
Kepler-324,34.169,,
Kepler-968,7.685,,
KOI-351,7.008151,0.074,
KOI-351,8.719375,0.089,
KOI-351,59.73667,0.32,
KOI-351,91.93913,0.42,
KOI-351,124.9144,0.48,
KOI-351,210.60697,0.71,
KOI-351,331.60059,1.01,
KOI-94,3.743208,0.05119,0.25
KOI-94,10.423648,0.1013,0.43
KOI-94,22.342989,0.1684,0.022
KOI-94,54.32031,0.3046,0.019
Kepler-10,0.8374907,0.01685,0
Kepler-10,45.294301,0.241,0.13
Kepler-10,151.04,0.5379,0.26
Kepler-100,6.88705,,
Kepler-100,12.8159,,
Kepler-100,35.3331,,
Kepler-102,5.286965,0.05521,0.1
Kepler-102,7.071392,0.06702,0.094
Kepler-102,10.311767,0.08618,0.092
Kepler-102,16.1456994,0.1162,0.089
Kepler-102,27.453592,0.1656,0.1
Kepler-104,11.427548,0.094,
Kepler-104,23.668205,0.153,
Kepler-104,51.755394,0.257,
Kepler-106,6.16486,,
Kepler-106,13.5708,,
Kepler-106,23.9802,,
Kepler-106,43.8445,,
Kepler-107,3.1800218,0.04544,0.1
Kepler-107,4.901452,0.06064,0.08
Kepler-107,7.95839,0.08377,0.11
Kepler-107,14.749143,0.12638,0.1
Kepler-1073,8.67888593,,
Kepler-1073,4.02582254,,
Kepler-1073,2.50476003,,
Kepler-11,10.3039,0.091,0.045
Kepler-11,13.0241,0.107,0.026
Kepler-11,22.6845,0.155,0.004
Kepler-11,31.9996,0.195,0.012
Kepler-11,46.6888,0.25,0.013
Kepler-11,118.3807,0.466,0.15
Kepler-1130,5.45298175,,
Kepler-1130,3.26663995,,
Kepler-1130,4.27225017,,
Kepler-114,5.188549,0.053,
Kepler-114,8.041,,
Kepler-114,11.776,,
Kepler-122,5.766193,0.064,
Kepler-122,12.465988,0.108,
Kepler-122,21.587475,0.155,
Kepler-122,37.993273,0.227,
Kepler-122,56.268,,
Kepler-124,3.410493,0.039,
Kepler-124,13.821375,0.1,
Kepler-124,30.950851,0.17,
Kepler-1254,9.99113313,,
Kepler-1254,3.60084276,,
Kepler-1254,5.72717226,,
Kepler-126,10.495711,0.099,
Kepler-126,21.869741,0.162,
Kepler-126,100.283134,0.448,
Kepler-127,14.435889,0.125,
Kepler-127,29.393195,0.2,
Kepler-127,48.630408,0.28,
Kepler-129,15.79,0.13,
Kepler-129,82.2,0.39,
Kepler-129,2646,4,0.15
Kepler-130,8.457458,0.079,
Kepler-130,27.50868,0.178,0
Kepler-130,87.517905,0.377,
Kepler-1311,11.1726994,,
Kepler-1311,2.53573424,,
Kepler-1311,197.5110016,,
Kepler-132,6.178196,0.067,
Kepler-132,6.414914,0.068,
Kepler-132,18.010199,0.136,
Kepler-132,110.2869374,,
Kepler-1321,11.12830484,,
Kepler-1321,2.22649109,,
Kepler-1321,5.72092009,,
Kepler-138,10.3134,0.0753,0.02
Kepler-138,13.7815,0.0913,0.017
Kepler-138,23.0923,0.1288,0.01
Kepler-138,38.23,0.1803,0.112
Kepler-1388,12.2854603,,
Kepler-1388,5.53608151,,
Kepler-1388,20.9568158,,
Kepler-1388,37.6327084,,
Kepler-142,2.024152,0.032,
Kepler-142,4.761702,0.057,
Kepler-142,41.809118,0.242,
Kepler-1468,8.23984869,,
Kepler-1468,3.54553021,,
Kepler-1468,19.59059906,,
Kepler-148,1.729366,0.028,
Kepler-148,4.180043,0.05,
Kepler-148,51.84688575,,
Kepler-149,29.198943,0.184,
Kepler-149,55.328328,0.281,
Kepler-149,160.018032,0.571,
Kepler-150,3.428054,0.044,
Kepler-150,7.381998,0.073,
Kepler-150,12.56093,0.104,
Kepler-150,30.826557,0.189,
Kepler-150,637.2093,1.24,
Kepler-1530,2.5904434,,
Kepler-1530,5.3227406,,
Kepler-1530,9.20761013,,
Kepler-154,33.040532,0.198,
Kepler-154,62.303276,0.303,
Kepler-154,20.54981883,,
Kepler-154,3.93276465,,
Kepler-154,9.91935684,,
Kepler-1542,3.95116882,,
Kepler-1542,2.89223021,,
Kepler-1542,5.99273738,,
Kepler-1542,5.10115756,,
Kepler-157,1.732342,0.028,
Kepler-157,13.5405,0.11,
Kepler-157,7.02573474,,
Kepler-160,4.309397,0.05511,
Kepler-160,13.699429,0.1192,
Kepler-160,30,0.17,
Kepler-164,5.03503,0.058,
Kepler-164,10.945723,0.097,
Kepler-164,28.986769,0.187,
Kepler-166,7.650254,0.072,
Kepler-166,34.260281,0.195,
Kepler-166,1.55400393,,
Kepler-1669,9.51216,,
Kepler-1669,1.60932005,,
Kepler-167,4.3931539,0.04825,0
Kepler-167,7.406106,0.0684,0
Kepler-167,21.80379,0.1404,0
Kepler-167,1071.23205,1.883,0.29
Kepler-169,3.250619,0.04,
Kepler-169,6.195469,0.062,
Kepler-169,8.348125,0.075,
Kepler-169,13.767102,0.105,
Kepler-169,87.090195,0.359,
Kepler-171,4.166972,0.05,
Kepler-171,11.463462,0.098,
Kepler-171,39.595519,0.223,
Kepler-172,2.940309,0.04,
Kepler-172,6.388996,0.068,
Kepler-172,14.627119,0.118,
Kepler-172,35.118736,0.211,
Kepler-174,13.98179,0.1,
Kepler-174,44.000529,0.214,
Kepler-174,247.35373,0.677,
Kepler-176,5.433074,0.058,
Kepler-176,12.759712,0.102,
Kepler-176,25.751974,0.163,
Kepler-176,51.16579,,
Kepler-178,9.576694,0.085,
Kepler-178,20.552802,0.142,
Kepler-178,96.678988,0.397,
Kepler-18,3.504725,0.0447,0
Kepler-18,7.64159,0.0752,0
Kepler-18,14.85888,0.1172,0
Kepler-184,10.687576,0.092,
Kepler-184,20.303005,0.141,
Kepler-184,29.022358,0.179,
Kepler-186,3.8867907,0.0343,
Kepler-186,7.267302,0.0451,
Kepler-186,13.342996,0.0781,
Kepler-186,22.407704,0.11,
Kepler-186,129.9441,0.432,0.04
Kepler-19,9.28699,0.0846,0.41
Kepler-19,28.731,,0.21
Kepler-19,62.95,,0.05
Kepler-191,9.939632,0.087,
Kepler-191,17.738506,0.128,
Kepler-191,5.94504102,,
Kepler-192,9.926746,0.09,
Kepler-192,21.2234,0.15,
Kepler-192,6.47027579,,
Kepler-194,2.092281,0.032,
Kepler-194,17.308032,0.131,
Kepler-194,52.814973,0.275,
Kepler-196,20.739886,0.138,
Kepler-196,47.427737,0.24,
Kepler-196,122.0800018,,
Kepler-197,5.599308,0.06,
Kepler-197,10.349695,0.09,
Kepler-197,15.677563,0.119,
Kepler-197,25.209715,0.164,
Kepler-198,17.790037,0.131,
Kepler-198,49.567416,0.259,
Kepler-198,1.31184443,,
Kepler-20,3.6961049,0.04565,0.083
Kepler-20,10.8540774,0.0936,0.076
Kepler-20,77.611455,0.3474,0.082
Kepler-20,6.0984882,0.0637,0.092
Kepler-20,19.578328,0.1387,0.094
Kepler-20,34.94,0.2055,0.15
Kepler-203,3.162697,0.043,
Kepler-203,5.370647,0.061,
Kepler-203,11.32972,0.1,
Kepler-206,7.781987,0.078,
Kepler-206,13.137471,0.111,
Kepler-206,23.44281,0.163,
Kepler-207,1.611865,0.029,
Kepler-207,3.071571,0.044,
Kepler-207,5.868075,0.068,
Kepler-208,4.22864,0.054,
Kepler-208,7.466623,0.079,
Kepler-208,11.131786,0.103,
Kepler-208,16.259458,0.132,
Kepler-215,9.360672,0.084,
Kepler-215,14.667108,0.113,
Kepler-215,30.864423,0.185,
Kepler-215,68.16101,0.314,
Kepler-217,5.374943,0.065,
Kepler-217,8.586004,0.089,
Kepler-217,3.88689525,,
